Customer_ID,Gender,Age_Group,Customer_Type,Membership,Membership_Start_Date,Home_City,Vehicle_ID
CU00001,Male,46-60,Regular,Gold,2025-07-26,Pune,V00001
CU00002,Male,26-35,New,Silver,2025-02-10,Lucknow,V00002
CU00003,Male,26-35,New,Platinum,2024-04-11,Bengaluru,V00003
CU00004,Female,26-35,New,None,2022-05-08,Bengaluru,V00004
CU00005,Male,18-25,New,None,2022-10-07,Lucknow,V00005
CU00006,Female,36-45,New,Gold,2023-12-20,Bengaluru,V00006
CU00007,Female,46-60,Regular,None,2022-07-13,Chennai,V00007
CU00008,Female,26-35,New,Gold,2025-10-16,Ahmedabad,V00008
CU00009,Male,18-25,Regular,Platinum,2023-04-16,Jaipur,V00009
CU00010,Female,36-45,New,Platinum,2023-09-14,Ahmedabad,V00010
CU00011,Male,18-25,New,Silver,2024-02-05,Chennai,V00011
CU00012,Male,46-60,New,Platinum,2024-03-19,Bengaluru,V00012
CU00013,Female,18-25,Regular,Gold,2024-12-06,Bengaluru,V00013
CU00014,Female,26-35,New,Platinum,2022-06-22,Bengaluru,V00014
CU00015,Female,36-45,New,Platinum,2024-08-27,Ahmedabad,V00015
CU00016,Male,36-45,Regular,Platinum,2024-08-09,Lucknow,V00016
CU00017,Female,46-60,New,Platinum,2025-06-05,Hyderabad,V00017
CU00018,Male,36-45,New,Silver,2023-02-23,Delhi,V00018
CU00019,Female,26-35,Regular,Platinum,2024-10-01,Bengaluru,V00019
CU00020,Male,26-35,New,Silver,2022-05-11,Mumbai,V00020
CU00021,Female,46-60,New,Platinum,2022-05-18,Delhi,V00021
CU00022,Male,36-45,New,Platinum,2025-12-27,Bengaluru,V00022
CU00023,Female,18-25,Regular,Silver,2024-08-27,Hyderabad,V00023
CU00024,Female,18-25,New,Platinum,2025-01-04,Jaipur,V00024
CU00025,Male,18-25,New,Silver,2023-02-09,Kolkata,V00025
CU00026,Male,46-60,Regular,Gold,2025-10-28,Mumbai,V00026
CU00027,Female,46-60,New,Gold,2025-01-20,Jaipur,V00027
CU00028,Male,46-60,Regular,None,2022-04-27,Delhi,V00028
CU00029,Male,46-60,New,None,2025-05-27,Hyderabad,V00029
CU00030,Male,36-45,New,Silver,2022-10-24,Delhi,V00030
CU00031,Female,36-45,Regular,Gold,2022-01-19,Ahmedabad,V00031
CU00032,Male,26-35,Regular,None,2022-02-02,Jaipur,V00032
CU00033,Female,46-60,Regular,None,2025-12-13,Lucknow,V00033
CU00034,Male,26-35,New,Platinum,2024-01-27,Pune,V00034
CU00035,Male,36-45,New,Gold,2024-02-02,Pune,V00035
CU00036,Female,46-60,Regular,Platinum,2022-07-06,Chennai,V00036
CU00037,Male,36-45,New,Platinum,2022-09-24,Hyderabad,V00037
CU00038,Male,18-25,New,None,2023-09-28,Bengaluru,V00038
CU00039,Female,18-25,Regular,Platinum,2024-10-11,Bengaluru,V00039
CU00040,Male,46-60,Regular,Silver,2024-06-07,Chennai,V00040
CU00041,Male,36-45,New,None,2025-03-19,Chennai,V00041
CU00042,Female,36-45,New,Platinum,2023-08-01,Pune,V00042
CU00043,Female,46-60,Regular,Silver,2022-02-03,Chennai,V00043
CU00044,Female,26-35,Regular,Platinum,2024-04-07,Lucknow,V00044
CU00045,Male,18-25,Regular,Silver,2025-07-06,Hyderabad,V00045
CU00046,Female,18-25,New,Platinum,2024-11-03,Kolkata,V00046
CU00047,Male,46-60,New,Gold,2023-02-18,Delhi,V00047
CU00048,Female,36-45,New,None,2024-12-07,Delhi,V00048
CU00049,Female,26-35,New,Platinum,2023-02-25,Jaipur,V00049
CU00050,Female,18-25,Regular,Gold,2022-07-07,Kolkata,V00050
CU00051,Female,46-60,New,Silver,2024-12-13,Bengaluru,V00051
CU00052,Male,26-35,New,Platinum,2024-05-21,Delhi,V00052
CU00053,Male,36-45,Regular,Gold,2022-02-24,Delhi,V00053
CU00054,Female,26-35,Regular,None,2024-10-28,Hyderabad,V00054
CU00055,Female,36-45,New,Gold,2025-09-26,Kolkata,V00055
CU00056,Male,46-60,Regular,Silver,2024-09-10,Delhi,V00056
CU00057,Female,26-35,Regular,Gold,2022-03-12,Ahmedabad,V00057
CU00058,Male,26-35,Regular,Platinum,2023-08-15,Mumbai,V00058
CU00059,Male,26-35,Regular,Gold,2022-08-16,Chennai,V00059
CU00060,Female,36-45,Regular,None,2024-02-01,Kolkata,V00060
