Vehicle_ID,EV_Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Manufacturing_Year,Customer_ID
V00001,Hyundai,Ioniq 5,SUV,72.0,2025,CU00001
V00002,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00002
V00003,Mahindra,XUV400,SUV,39.0,2022,CU00003
V00004,Hyundai,Ioniq 5,SUV,72.0,2022,CU00004
V00005,Ola Electric,S1 Air,Scooter,3.0,2022,CU00005
V00006,BYD,eMAX 7,MPV,71.0,2023,CU00006
V00007,MG,ZS EV,SUV,50.0,2022,CU00007
V00008,Kia,EV9,SUV,99.0,2022,CU00008
V00009,Ather,Rizta,Scooter,3.7,2025,CU00009
V00010,Tata,Curvv EV,SUV,55.0,2024,CU00010
V00011,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00011
V00012,Bajaj,Chetak,Scooter,3.2,2025,CU00012
V00013,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00013
V00014,Tata,Curvv EV,SUV,55.0,2023,CU00014
V00015,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00015
V00016,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00016
V00017,Ather,450X,Scooter,4.0,2024,CU00017
V00018,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00018
V00019,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00019
V00020,Olectra,City Bus,Bus,300.0,2024,CU00020
V00021,MG,ZS EV,SUV,50.0,2024,CU00021
V00022,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00022
V00023,Olectra,City Bus,Bus,300.0,2023,CU00023
V00024,Hyundai,Ioniq 5,SUV,72.0,2022,CU00024
V00025,TVS,iQube,Scooter,3.4,2025,CU00025
V00026,MG,Windsor EV,Car,38.0,2022,CU00026
V00027,TVS,iQube,Scooter,3.4,2024,CU00027
V00028,Mahindra,XUV400,SUV,39.0,2023,CU00028
V00029,Kia,EV9,SUV,99.0,2025,CU00029
V00030,Hyundai,Kona Electric,SUV,39.0,2023,CU00030
V00031,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00031
V00032,Bajaj,Chetak,Scooter,3.2,2024,CU00032
V00033,Tata,Curvv EV,SUV,55.0,2024,CU00033
V00034,Bajaj,Chetak,Scooter,3.2,2022,CU00034
V00035,Hyundai,Kona Electric,SUV,39.0,2024,CU00035
V00036,Mahindra,XUV400,SUV,39.0,2022,CU00036
V00037,BYD,eMAX 7,MPV,71.0,2022,CU00037
V00038,Olectra,City Bus,Bus,300.0,2023,CU00038
V00039,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00039
V00040,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00040
V00041,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00041
V00042,BYD,Atto 3,SUV,60.0,2022,CU00042
V00043,BYD,eMAX 7,MPV,71.0,2024,CU00043
V00044,Ola Electric,S1 Air,Scooter,3.0,2022,CU00044
V00045,Bajaj,Chetak,Scooter,3.2,2025,CU00045
V00046,Bajaj,Chetak,Scooter,3.2,2024,CU00046
V00047,Hyundai,Kona Electric,SUV,39.0,2024,CU00047
V00048,Ola Electric,S1 Air,Scooter,3.0,2024,CU00048
V00049,Ola Electric,S1 Air,Scooter,3.0,2023,CU00049
V00050,Kia,EV9,SUV,99.0,2025,CU00050
V00051,Ather,450X,Scooter,4.0,2025,CU00051
V00052,Bajaj,Chetak,Scooter,3.2,2023,CU00052
V00053,Ather,Rizta,Scooter,3.7,2025,CU00053
V00054,Tata,Curvv EV,SUV,55.0,2022,CU00054
V00055,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00055
V00056,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00056
V00057,Ola Electric,S1 Air,Scooter,3.0,2024,CU00057
V00058,Ather,Rizta,Scooter,3.7,2022,CU00058
V00059,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00059
V00060,MG,ZS EV,SUV,50.0,2023,CU00060
V00061,Ather,Rizta,Scooter,3.7,2024,CU00061
